"genes","logFC","logCPM","PValue","FDR"
"PTGR1",-1.76749593080236,10.0460516179939,2.19606482140749e-21,4.21832679837788e-19
"IL1R2",1.9693749955731,6.36342186501217,2.40790860685651e-21,4.560104102506e-19
"PRODH2",-3.52720220346192,4.11715663995772,2.5342823265293e-21,4.73277224479346e-19
"BTNL8",-3.83456200596395,3.08833117856836,2.74430530027888e-21,5.05478480377395e-19
"F5",-2.15561530976327,5.0661424728948,2.99756591968059e-21,5.44665829135475e-19
"PLGLB2",-3.76872633558989,4.09929048623345,3.77202094912583e-21,6.76247915759279e-19
"GBA3",-4.4473067274133,4.34330811608242,5.14797939228047e-21,9.10785933007936e-19
"ALDOB",-3.71151081721299,2.80769270234677,1.15286846025391e-20,2.01317783332132e-18
"TTR",-6.50755416667341,9.95206470520308,1.21346677512692e-20,2.09183003312263e-18
"MFSD2A",-1.69917929369995,4.2518604959633,1.38397070148218e-20,2.35555317115561e-18
"KLB",-4.72121744343923,1.62347886069129,2.63470227063444e-20,4.42827584136884e-18
"ASGR2",-2.50571294264713,3.50407622207188,3.51739644647585e-20,5.83887810114991e-18
"ERBB3",-1.96521233553887,4.42571817866699,7.72055029072489e-20,1.26598194157423e-17
"CYP4F3",-2.94429452263929,5.41001578185456,2.84506035170058e-19,4.60899776975495e-17
"UGT1A1",-2.75888836195742,5.25278345551439,3.45622311424647e-19,5.53242571359024e-17
"SLC2A2",-2.42361801646837,2.76131384453001,4.07520693078219e-19,6.44649792838792e-17
"CYP8B1",-4.82775268410951,2.07534495286879,4.37101723257425e-19,6.83403461734807e-17
"CRYL1",-1.62077772929227,5.54729534118576,7.24772642651416e-19,1.12014861529781e-16
"CYP3A5",-2.63498126781094,7.29937397634581,7.76980179690607e-19,1.18719039728635e-16
"A1CF",-2.58938747766902,5.14468151018175,1.36515312114766e-18,2.06245492887095e-16
"ALPL",-2.50518316780053,3.52355348641473,1.62274149480667e-18,2.42437579324116e-16
"PBLD",-2.09354337358976,3.63811151832203,1.87102073363099e-18,2.76458733894531e-16
"APOA1",-5.8072069184137,8.13606299720179,2.59665074994334e-18,3.78254807355711e-16
"ELF3",-1.95771558594943,5.51510426900669,2.61622022044334e-18,3.78254807355711e-16
"NET1",-1.84802327017765,4.33980980435966,3.21691491204959e-18,4.60155722419349e-16
"PROX1",-2.63857500742574,2.91714949009383,5.89526629100414e-18,8.34397374198333e-16
"GLTPD2",-2.56176016755828,3.94708266617908,9.40358217408536e-18,1.31462037998112e-15
"ACSM2A",-3.48473917072946,6.00791511067019,9.48372578150892e-18,1.31462037998112e-15
"OCLN",-2.2692184627652,3.06399976138504,9.99244111485609e-18,1.37100370643219e-15
"CEBPA",-1.87848919559939,3.84277208053405,1.78057030384446e-17,2.41833821267603e-15
"C2orf72",-2.0038021968538,4.05055619889866,2.63992767169346e-17,3.54964674735902e-15
"MASP1",-2.09095795305586,3.82165644431392,4.19208465693645e-17,5.58086834625421e-15
"SAA4",-4.4384290242688,6.01230151415198,5.99250760323042e-17,7.89953502284668e-15
"SHMT1",-1.62292718980473,6.40103876564989,6.07245599995777e-17,7.92720809470216e-15
"GCKR",-2.29597231963631,5.29641553418422,7.56160313030869e-17,9.77628035482025e-15
"AGXT",-7.1707545760608,4.02119384524795,1.1559600415069e-16,1.48028940172398e-14
"CYP2C9",-9.95252326322734,2.96128858404386,1.30290266134755e-16,1.65271973438483e-14
"SLC10A1",-3.15056974866063,1.85261896013292,1.75694663324029e-16,2.20784153556532e-14
"NR1I2",-3.3941684574953,2.4369262930185,1.79971426478898e-16,2.24064425966229e-14
"SMLR1",-1.82444809273789,3.92760618245348,2.14961515960693e-16,2.65171792991512e-14
