"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PLGLB2",102.756437942352,-3.66589815165366,0.400676083598307,2.23387334908226e-21,5.21646658233193e-19
"SERPINA10",88.7565272202154,-4.7802222664466,0.516489407927235,2.3343734967477e-21,5.36178804310361e-19
"AGXT2",36.857429894047,-3.81902444336707,0.418816156279948,8.29119739900958e-21,1.87367688318586e-18
"DPYS",39.3273305023288,-5.26295041379111,0.575083827561819,1.3726262369768e-20,3.0526771756003e-18
"ACSM2A",387.315788881364,-3.38295811392391,0.37828656218666,2.23840792615401e-20,4.90036460208497e-18
"CIDEB",104.529048507335,-2.43555175961267,0.270978700951874,2.27581391517513e-20,4.90560442546443e-18
"ALDH1A1",3808.93320925675,-1.26695585416249,0.141579935825278,2.47312293913352e-20,5.25014022730299e-18
"ACSL5",1108.63924030646,-1.30181884265128,0.145232948549205,2.69692249972365e-20,5.63978823039224e-18
"RIDA",1143.80351210711,-1.09744038224454,0.122934583060345,4.45787240104506e-20,9.18518385456505e-18
"PRODH2",105.151219027383,-3.42614686611343,0.386967367418152,4.80965223472122e-20,9.76638224067811e-18
"F5",201.549799271794,-2.08479318951013,0.236293331078634,7.63545126372906e-20,1.52829010937297e-17
"CYP3A7",40.3784812929202,-3.77673902560725,0.428997017618959,8.05074420061418e-20,1.58871798584233e-17
"CYP4F3",255.675496358119,-2.85418930663462,0.325470266329346,1.11187325979171e-19,2.16367447818634e-17
"CRYL1",282.28094182967,-1.56051611798515,0.17984053873157,2.44687454152068e-19,4.6963231782529e-17
"IQGAP2",108.288102452285,-1.9663081343244,0.22730941447827,3.10612715905919e-19,5.88107400345653e-17
"SHMT1",508.644299396075,-1.56410699108306,0.180797943195691,3.56613245718088e-19,6.66201091434151e-17
"TTR",5960.51098838115,-6.31301246383967,0.733838023366874,4.0274193354604e-19,7.42475951435995e-17
"UGT1A1",228.008875055115,-2.66855128368416,0.316558271125228,2.05022322260152e-18,3.73060747686621e-16
"RDH16",57.16589350513,-7.43705340697277,0.848176546025779,3.76019903295583e-18,6.75437803214669e-16
"SERPIND1",61.0036611265567,-4.82895917105347,0.571350980372877,4.92891917527472e-18,8.7416565271866e-16
"A1CF",212.693975659315,-2.49868490867746,0.302764634689894,9.40832679209317e-18,1.64775083355022e-15
"EHHADH",535.28186834328,-1.3399425416192,0.161679593630056,9.61371979083155e-18,1.66293614801655e-15
"AZGP1",2278.06447986388,-2.477586304153,0.304735765354748,2.14800254502242e-17,3.67020288515965e-15
"CES2",2412.74755426878,-1.26336808093093,0.15391752251974,2.39051769071777e-17,4.03536667043935e-15
"ELF3",274.825403818009,-1.88335741198828,0.231591426134125,2.59122349056166e-17,4.32209908645945e-15
"FCGRT",581.591906733519,-1.39305913416318,0.170791676850003,2.82439978942823e-17,4.65560769996223e-15
"APOA1",1693.98821901134,-5.61426130394846,0.697221333900061,3.30529845272232e-17,5.38494611873167e-15
"HP",43300.0239567387,-2.65131805059366,0.331667017006679,4.92265671245297e-17,7.9277405974918e-15
"ERBB3",129.538049077938,-1.89323916063045,0.236171065179854,6.98091921221676e-17,1.11147339866328e-14
"MFSD2A",114.936610508836,-1.63226914247296,0.203729229026594,7.62212956504282e-17,1.19992873411028e-14
"ALDOB",42.0924081180818,-3.60062727584923,0.449201392483984,7.97168051806453e-17,1.24101350820669e-14
"BTNL8",51.5009012466464,-3.72505891277616,0.467600503512357,1.28379976778483e-16,1.97662841169596e-14
"GLTPD2",92.9745804430651,-2.4638868848697,0.314088720288854,1.81470769685372e-16,2.76368147180625e-14
"DHCR24",3005.37942439351,-1.26194866931973,0.159294313573767,1.86278263835449e-16,2.80639220924567e-14
"AFM",34.2434100894723,-5.21687353759659,0.655217254902881,1.96596195786482e-16,2.93032904166426e-14
"BICDL1",50.5089005308072,-2.39684939617982,0.303139870183787,2.28822646658052e-16,3.3747727392905e-14
"GCKR",237.254691737669,-2.20722163374328,0.284080119067206,4.61215902319396e-16,6.73135000770527e-14
"AKR1C1",4885.23659622792,-1.43678947563003,0.184315594844711,5.02057392960075e-16,7.25188261109651e-14
"SMAD3-DT",39.015010292837,-2.63276760178514,0.337349892632846,5.28098988062755e-16,7.55019889974211e-14
"ASGR2",67.0583765412463,-2.41168105973115,0.311181729950834,6.64910860060673e-16,9.41016773768697e-14
"RRAD",161.444757733554,2.73700288041371,0.354478098323252,7.00573038569756e-16,9.81572884340085e-14
"ETNK2",1726.25806047953,-1.38588865046148,0.178624654495375,7.56148526317553e-16,1.04895019824111e-13
"CHST13",43.2133582723973,-2.57379073875999,0.332772724139206,8.55060180517214e-16,1.1745341361987e-13
"ABAT",292.16257393811,-2.12004649464854,0.277161095086611,1.22270251875299e-15,1.66323155245128e-13
"PBLD",74.8356276500784,-2.00952209873612,0.263887332779652,1.65486327697027e-15,2.22945090131062e-13
"NET1",121.172389382905,-1.77571534265349,0.23281065778007,2.09026367314915e-15,2.78920803090407e-13
"ALPL",69.2060296698954,-2.40534390880421,0.317882983031836,2.17211450813727e-15,2.8710845635388e-13
"OSGIN1",308.133514807654,-1.55700984586023,0.206127305943938,2.95534779024014e-15,3.86984840084622e-13
"GPX2",123.643578914693,-4.52815515904763,0.603691001439151,4.19580326676207e-15,5.44327773801883e-13
"C5",420.084046699597,-3.16870654994088,0.427280717610584,6.20621657306192e-15,7.97755049588721e-13
"ABCB1",237.396203147439,-1.40706074002801,0.189276367075197,8.03620110895301e-15,1.02359285215946e-12
"CEBPA",86.1146740443794,-1.79354878017023,0.243214170514621,9.21845300137634e-15,1.15321200894896e-12
"ZBED3",262.509510864997,-1.42270206763276,0.192002078567289,9.15902765564121e-15,1.15321200894896e-12
"CYP4B1",769.596462237758,-1.79155885168558,0.242480631951125,9.34677427993582e-15,1.1589172958954e-12
"DIO1",82.7012685990322,-3.01290221182968,0.412315043943337,1.19934955504708e-14,1.47404268559339e-12
"FGB",20152.4182645955,-2.55387824686277,0.350167129097076,1.54261651654326e-14,1.87944347941631e-12
"KHK",359.289308342527,-2.0135223257449,0.275663886671286,1.57691861381541e-14,1.90467299122135e-12
"C2orf72",99.842277832113,-1.91886254163718,0.262406331572292,1.70263536500691e-14,2.03894223069332e-12
"MASP1",85.1533247152691,-2.00566212026612,0.275435139535185,2.02801289111633e-14,2.40800750995177e-12
"SERPINA4",302.317252805104,-2.1243320020153,0.292469084959673,2.5166466567988e-14,2.96308708474017e-12
"SULT2A1",1104.99701276997,-3.18950965465327,0.446153460903393,3.70349231516635e-14,4.32413590231631e-12
"HMGCS2",513.590407874671,-3.42784292898486,0.48094028082292,4.73839648462901e-14,5.48674984678819e-12
"PROX1",44.8358556322504,-2.52391041790473,0.35349864271315,5.20726705510468e-14,5.98024743516981e-12
"PEPD",662.344916995466,-1.13287226985998,0.15717724804658,5.78345743049467e-14,6.58796927306185e-12
"CYB5A",3364.78304563365,-1.50955502869672,0.211227228734887,6.25406258873379e-14,7.06658636538299e-12
"CFH",1259.30015262073,-1.64645558879581,0.230886033353249,6.61516173979428e-14,7.41480249090061e-12
"SLC2A2",40.7432654501541,-2.31483044863133,0.326475057734489,6.85496871195488e-14,7.62261639866665e-12
"CYP7A1",28.1331118594494,-6.03615425481672,0.809044468694481,9.90516663516149e-14,1.09276606082872e-11
"SERPINA1",68550.037812888,-2.14870976308369,0.309330986558554,1.18817243697725e-13,1.3005846886319e-11
"C1orf115",151.437525975196,-1.56126209974606,0.222297792805426,1.73639205326857e-13,1.88593713630589e-11
"FGFR4",138.926013227287,-1.76983913202597,0.252330410372221,1.75213091506807e-13,1.8883927885399e-11
"SMLR1",91.1568097041632,-1.73890222126613,0.24865786745179,1.80309179211037e-13,1.92848237398919e-11
"OCLN",49.7539554510644,-2.17277450610007,0.312426531095175,2.53565958487728e-13,2.69144897300875e-11
"HNF4A",249.88252557561,-1.977153136463,0.285657072711918,2.61070784546553e-13,2.75027275359531e-11
"NR1I2",31.6407695487463,-3.25337754644169,0.474024333063858,3.9230701663119e-13,4.10195045523851e-11
"LINC00261",56.366437629539,-2.82218043840997,0.411370102554434,4.01883442892081e-13,4.17095475434144e-11
"CYP8B1",24.5593367264712,-4.69832357822668,0.668812601630476,4.97390095248685e-13,5.1242151650951e-11
"AOX1",1386.73555142471,-2.42334361250076,0.356776883281959,5.22190923028356e-13,5.34045038142357e-11
"TMEM14A",624.353399392101,-1.17048436496098,0.1699585317985,5.71435487574104e-13,5.80172653362374e-11
"BAAT",233.998035961136,-1.93351526065748,0.28413743822259,6.22658596178656e-13,6.27630905831594e-11
"CP",1212.05288842119,-1.45621903467875,0.213147807323044,6.2868389816854e-13,6.2917786408853e-11
"HPD",1522.07919971683,-1.65345669894295,0.242423908370488,6.42078799309505e-13,6.38025961498261e-11
"RBP5",60.3606140616448,-1.92329017719276,0.283708506954114,6.80539951380843e-13,6.71482060478661e-11
"F2RL1",83.6412304033007,-2.19284921067923,0.323492602095496,7.9980513891251e-13,7.83641244846376e-11
"CYP2C9",45.8398575437158,-10.4108113304085,3.03586714077751,9.28313097573468e-13,9.03235750701518e-11
"SLC47A1",145.290371567181,-1.34866547589236,0.200433423178779,1.36120490253379e-12,1.31529944064834e-10
"PRG4",61.8477454709749,-2.09836590555916,0.314008208360058,1.56066234947302e-12,1.49770138208675e-10
"AGXT",98.0189140612449,-6.98868890862502,1.02934979531658,1.99591177649602e-12,1.90236189799223e-10
"CREB3L3",234.395813097697,-2.18452441404536,0.331822445138548,2.38396081175386e-12,2.25686992793806e-10
"SORBS2",52.9015403703233,-2.43608349793645,0.369791948932176,2.66281499470802e-12,2.5039396571043e-10
"GNMT",31.640825319015,-2.68793217834963,0.408729926256664,2.73013597665734e-12,2.55012901126307e-10
"ADH6",124.841038056545,-2.35582154479014,0.358201601743848,2.86339277856074e-12,2.64418861800927e-10
"AGMAT",78.0678021927852,-1.89873712008781,0.288576341566981,2.86857947282427e-12,2.64418861800927e-10
"CYP4F12",127.487262003775,-1.97949695276817,0.300211763364547,3.16660362550435e-12,2.89982244424454e-10
"CFB",2893.95478767774,-2.1217697632548,0.326314613252232,3.65717026230964e-12,3.32731250293639e-10
"TMT1A",1325.79310386859,-0.980830400646644,0.1483846744113,4.3836074145773e-12,3.96249828939629e-10
"AKR1B10",3431.98448828445,-1.94725680737269,0.300006264143607,5.12810637906605e-12,4.60576272289067e-10
"TNFSF10",206.102872450109,-1.92321438690467,0.300173427309005,8.76408770810576e-12,7.82125050180062e-10
"ACAD11",324.574362144841,-0.961520229136135,0.148128639620228,1.03388389642345e-11,9.16819447644871e-10
"NR1H4",135.946910713173,-1.57911984799879,0.246400869537748,1.08132546981044e-11,9.52858563365669e-10
"CD68",455.789535937789,-1.77906549015128,0.279342007561374,1.20175815622485e-11,1.05236459542914e-09
"ACSM2B",157.650975852976,-2.10039165181335,0.332086510898394,1.37590670047959e-11,1.19738066959128e-09
"RND3",253.890707159178,1.18423286682359,0.184951913670867,1.44581222709471e-11,1.25044908110025e-09
"CXCL13",1028.87793612977,-1.41481586335584,0.222337057479302,1.51204300669232e-11,1.29178259553452e-09
"GLYCTK",220.214527511386,-1.42963499543752,0.224712720671334,1.50877864471652e-11,1.29178259553452e-09
"ENPEP",55.1038680759004,-2.40331553116154,0.380880520139658,1.53532784493424e-11,1.30372596578022e-09
"CD14",214.015941928963,-2.0855464387175,0.33049278252883,1.65697731867235e-11,1.39854874770592e-09
"FMO3",829.798017435209,-1.37916950290852,0.217404997626979,1.79189243517834e-11,1.50336556343016e-09
"COL18A1",588.535107383555,-1.80104249527309,0.28555709477981,1.84473562240091e-11,1.53512934160107e-09
"SH3BGRL2",52.5343929159773,-2.04248355536199,0.32438494305895,1.85166553943744e-11,1.53512934160107e-09
"NPM1",3239.79282313946,0.74895820920809,0.115819546108753,1.93682640800802e-11,1.59628675309414e-09
"HLF",54.7334723656064,-2.48071007181738,0.395059402578942,1.99191931153035e-11,1.63209248385098e-09
"KLB",18.0875942783819,-4.58484087573714,0.707874040358899,2.02740231056308e-11,1.6515077775174e-09
"ITIH2",247.480810006452,-2.99983928087125,0.479792813278155,2.09385493694678e-11,1.69578043477233e-09
"FMO5",208.287210434239,-2.85811404875925,0.459369091654183,2.31941447204373e-11,1.86766184872441e-09
"AKR1C3",3707.78157394525,-1.19177143010529,0.18870737392396,2.38587105164306e-11,1.91019653168976e-09
"ENPP6",22.7737714473048,-3.17427073129012,0.511846879342092,3.1180145535485e-11,2.48218760850954e-09
"KCNK5",40.0221994609186,-2.24729436264695,0.361741512159577,3.35733567326171e-11,2.65760622135988e-09
"CLU",9068.42724005112,-1.86589624735881,0.304221904362314,4.68739601081541e-11,3.68961266896262e-09
"SLC38A3",74.0449009110786,-2.1428599448949,0.350458612883747,4.83559945831417e-11,3.78500469332066e-09
"ECHDC2",177.158380976898,-1.43810516768537,0.233144744590175,4.87591482610382e-11,3.79535792380781e-09
"STARD10",656.06064194724,-1.48475947157312,0.24085603202944,5.18905722267926e-11,4.0167889915447e-09
"C11orf54",253.723415179952,-1.12843231918744,0.181545391579785,5.33308200201155e-11,4.10559406209801e-09
"NBPF13P",25.0137412759122,-3.27179284033758,0.540576835742395,6.70060908991798e-11,5.13017671906234e-09
"RPS6KA3",187.31060264621,-1.06489102384301,0.172264207317097,6.88029758445765e-11,5.23912225303457e-09
"PDXP",129.939697963811,-1.5346532664658,0.251154814276383,7.33252041523439e-11,5.55329424528914e-09
"FDXR",646.690378257006,1.59246176595506,0.261075845367477,7.63563218053671e-11,5.75176572481182e-09
"EPHX1",3806.87972729331,-1.25144477258254,0.20445592083281,8.21165594503425e-11,6.15259419496657e-09
"CYP4F2",46.1238199487651,-3.17307901843758,0.524086680391963,8.30886338162515e-11,6.19231302340159e-09
"SLC10A1",21.4328530038409,-3.02874506435397,0.495624787825375,9.27635040721457e-11,6.87676960611023e-09
"ANKS4B",38.8545637174089,-2.76499769249987,0.457866811598775,1.0439022273075e-10,7.66926945148065e-09
"SPANXB1",1797.85305357452,2.01026276550141,0.334290368160166,1.0454860218634e-10,7.66926945148065e-09
"ABCC6",133.981025983733,-1.22859716956652,0.201942881813607,1.12734514640273e-10,8.22668377408781e-09
"CLDN7",38.5288676901843,-1.98073409565868,0.329135796997652,1.13532732734144e-10,8.24200579449789e-09
"APPL2",133.387786463881,-1.36564812871254,0.226691581808492,1.35054215524599e-10,9.7538382150266e-09
"MMP2",32.5231732308805,2.95835127333335,0.491925404557141,1.46140408380249e-10,1.05003757016188e-08
"UGT2B7",97.7973323148689,-3.36229412033868,0.561379479700833,1.49395995440179e-10,1.06795270005732e-08
"TSPAN33",136.52782714096,-1.29691877106634,0.215909675867118,1.64463584399984e-10,1.16969506651177e-08
"NUCB2",380.972808759579,-1.01329624340463,0.167835880905396,1.75650731812288e-10,1.23670472533767e-08
"PDZK1",301.753351617656,-1.21755395823472,0.202681223715708,1.74905830426181e-10,1.23670472533767e-08
"VNN1",36.4782366594182,-2.45622319475704,0.410364434998482,1.84309599923527e-10,1.29118090226427e-08
"PLS1",63.8196284037146,-1.76167199821169,0.29673781211668,1.90291779516586e-10,1.32645677751587e-08
"HPX",1096.61872314651,-4.51580333545057,0.778739475340284,2.8439028367717e-10,1.97257042802021e-08
"CFHR3",17.7674552661562,-5.01760533309501,0.826403748566411,3.44149602247185e-10,2.37531038280065e-08
"GPER1",24.4939882912526,-3.82043901236875,0.647793548573379,3.79867518953033e-10,2.6089822588485e-08
"SLC22A1",21.2006041682251,-3.90592342120422,0.667940970118823,3.87013747940706e-10,2.64509737677914e-08
"MYORG",143.268039580948,-1.22061943808497,0.207898595149898,4.2524341325573e-10,2.89227449666312e-08
"H1-0",332.905063328287,-1.52820686123262,0.263348759906118,4.71768910471733e-10,3.1932145916036e-08
"CALB2",38.7228129666114,2.32659014669127,0.403651081330499,4.79240963713758e-10,3.22819478009301e-08
"VKORC1",1257.06345384137,-0.870751361257531,0.148880617539576,7.05696357796425e-10,4.73086682731374e-08
