"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ITIH4",972.238646148748,-1.67862852846798,0.180650173239224,1.41140972384268e-21,3.40952786909651e-19
"FCGRT",581.591906733519,-1.58121068631473,0.170893836882902,2.26034352332628e-21,5.3677412042923e-19
"BIRC5",131.1371392972,3.81844935219012,0.416447781350131,3.51497232900263e-21,8.20804621694265e-19
"ANLN",170.022827158316,3.87920097943657,0.424940099252356,3.91739798036283e-21,8.99781362342028e-19
"FMO3",829.798017435209,-1.97920540154553,0.217157340722094,6.05536418547754e-21,1.36841463875364e-18
"CCNA2",127.476480555264,3.59038597425548,0.393522061999406,7.86699898971454e-21,1.74959560071255e-18
"SPC25",64.0760463559807,3.91349188392314,0.435372779129206,1.35977356830718e-20,2.97684179149248e-18
"CDCA5",111.878663496329,4.73308952340929,0.527065010672108,1.68994338881553e-20,3.64273797241453e-18
"NUSAP1",144.00363851085,3.46497046312765,0.387820383969699,1.85626177422573e-20,3.94061874525404e-18
"CENPW",131.322327919813,3.66660607299868,0.409929757168893,1.8860591684131e-20,3.94411567293074e-18
"AQP9",233.163078693484,-3.89938694900313,0.434919436978709,2.39927206729248e-20,4.94355896100514e-18
"MAD2L1",120.431044771531,3.40026569642948,0.381749024579712,2.93430201873407e-20,5.95833414267871e-18
"TACC3",127.668567038661,3.59768201100743,0.408024229279674,8.61136465846217e-20,1.72362614613876e-17
"MELK",68.1340913207686,3.5772889909836,0.403336123476184,1.2578905690379e-19,2.48229644546339e-17
"FAM111B",96.552808300675,4.19052657099229,0.483805336940213,1.81155810824381e-19,3.5252417575839e-17
"CALML4",75.5397426882781,-2.49830882774748,0.28678961190919,2.56253354211068e-19,4.91830924089216e-17
"CYP3A7",40.3784812929202,-3.75034589582149,0.4341589868177,2.73418481835514e-19,5.17684641756404e-17
"SLC38A3",74.0449009110786,-3.23172035367802,0.375705853488066,3.61723751106825e-19,6.75748196901029e-17
"HJURP",79.706892435746,4.62369464630467,0.540141887883081,4.73606378527439e-19,8.61779086954278e-17
"RFC4",109.296021572616,2.79041208751942,0.323496060532731,4.71455708047848e-19,8.61779086954278e-17
"DTL",52.9534731985653,4.39847150262606,0.510677313838542,6.11689376995718e-19,1.09876664885731e-16
"CDKN3",94.9809841311647,2.83230931623535,0.327702718237349,6.36084726304472e-19,1.12812444306987e-16
"ALDH1A1",3808.93320925675,-1.22174593939671,0.141217211115484,6.84688344728138e-19,1.19914604974824e-16
"PON1",79.9435070161372,-2.65642191737692,0.310584687230613,7.2031355358583e-19,1.24596459250507e-16
"CCNE2",63.5523143589308,4.54058370985913,0.529270718690798,7.72943197877616e-19,1.32069599334918e-16
"C4BPA",276.60864535252,-1.91599251416211,0.223425277840343,8.83813023876376e-19,1.48818603378762e-16
"CEP55",71.0437449828419,4.44882703317566,0.523033156975053,8.92210597660122e-19,1.48818603378762e-16
"PWWP3B",81.1986303317637,-2.18234430377892,0.256206762858813,1.19807915621155e-18,1.97485730090354e-16
"CDT1",90.0106612159692,4.4818911587516,0.520960448234561,1.27044477680206e-18,2.06979090322949e-16
"AREG",376.100968465662,2.35139350219645,0.278521838588361,1.95544886085526e-18,3.14917172292448e-16
"EZH2",97.6471805064108,3.00194606283991,0.356077105930711,2.1555452735954e-18,3.43197100322104e-16
"CDC45",53.0418175188718,4.54106809523608,0.529049783191561,2.22614371530862e-18,3.50455051631338e-16
"FEN1",218.096435442707,3.26862839484589,0.387815891656274,2.31611853339837e-18,3.60568186349384e-16
"SERPINB2",266.645086561267,8.9096143478689,1.05553406697614,2.50428840191703e-18,3.85577854936917e-16
"GINS2",74.5484765077642,3.37118537701699,0.404557745409515,2.93726509100695e-18,4.47326317283678e-16
"ZBED3",262.509510864997,-1.62368362619905,0.192360597866294,2.97470290933083e-18,4.48156585619723e-16
"DPYS",39.3273305023288,-3.5763720234329,0.42247526729938,3.07626932304674e-18,4.58527760480935e-16
"HMGB2",361.44558167631,2.46569744357393,0.295423503064382,4.51389402285067e-18,6.60350474872718e-16
"SULT2A1",1104.99701276997,-3.71330902076922,0.444570747813036,4.52456252856905e-18,6.60350474872718e-16
"RBP5",60.3606140616448,-2.49948016226044,0.298685459654681,4.85182809276031e-18,7.00814055749121e-16
"EREG",124.389636219267,3.14680209646912,0.378175435668759,5.21655615389384e-18,7.45807839512313e-16
"ECHDC2",177.158380976898,-1.97323192250375,0.236224238371888,5.34409682831671e-18,7.56324653146923e-16
"UBE2T",160.630114997629,2.45215897377745,0.295063678776176,5.48649318397709e-18,7.68712560007029e-16
"NECTIN4",192.82853371874,3.29528451649588,0.398675387505624,6.75126910568946e-18,9.36554766730842e-16
"CIDEB",104.529048507335,-2.21173227307412,0.268946728789237,1.37252232593521e-17,1.88533434398806e-15
"BCYRN1",353.918643368919,3.75495165138626,0.459945808389858,1.42111533869541e-17,1.9195929809286e-15
"DGAT2",342.435468117121,-1.42819314703457,0.172307152490578,1.42486382140158e-17,1.9195929809286e-15
"IER3",1573.83172629621,1.20533786670683,0.145137873381372,1.45923521742542e-17,1.94717567917596e-15
"NR1H4",135.946910713173,-2.06567260444252,0.250152151319857,1.54794993153226e-17,2.04606853685835e-15
"KHK",359.289308342527,-2.25784355175941,0.275380602019595,1.77204750879553e-17,2.32038856502188e-15
"AGXT2",36.857429894047,-3.05889270078834,0.373387151781527,2.74136136791054e-17,3.55640871535135e-15
"ALPL",69.2060296698954,-2.63272165955793,0.325504512303846,3.01483123003594e-17,3.84568634347296e-15
"MCM2",109.365296680325,3.49079444383082,0.428429965365296,3.01923843966901e-17,3.84568634347296e-15
"MTTP",184.229808808848,-2.75673874068175,0.338708601399453,3.05773225433659e-17,3.85962942482072e-15
"ALDOB",42.0924081180818,-3.76723294445136,0.464090063162793,3.09767985282165e-17,3.87514218016823e-15
"DSCC1",53.6589428475462,3.45194709072594,0.427301012539162,3.6119061328993e-17,4.47844396708425e-15
"CENPH",61.9082816379358,3.15184697501897,0.385969909267818,3.94424629280961e-17,4.81366645483556e-15
"SLC2A2",40.7432654501541,-2.83724450368331,0.348652753159522,3.9509788188287e-17,4.81366645483556e-15
"APOH",3431.42989322642,-1.85064413098292,0.228295649254451,4.10606021988855e-17,4.95948359834987e-15
"CDC6",81.444122734645,3.68487793125738,0.456913030672517,5.50121658247317e-17,6.58782440487449e-15
"PKMYT1",92.7281717108267,4.48848851799601,0.555601755435077,5.64691818140746e-17,6.70499751183897e-15
