unique_reads	ambig_reads	total_reads
0	74	74
0	60	60
4	66	70
0	3	3
2	36	38
6	41	47
0	6	6
0	5	5
0	0	0
0	236	236
0	213	213
0	233	233
0	208	208
0	224	224
0	0	0
0	1	1
0	1	1
0	0	0
3	0	3
263	79	342
3	62	65
0	9	9
52	11	63
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
9	4	13
8	54	62
0	29	29
0	59	59
0	60	60
0	21	21
0	52	52
0	50	50
0	1	1
0	0	0
0	32	32
0	6	6
0	9	9
0	7	7
0	2	2
0	0	0
0	60	60
0	2	2
0	0	0
0	30	30
0	1	1
0	0	0
0	0	0
0	19	19
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	5	5
0	1	1
0	5	5
0	5	5
0	2	2
0	1	1
0	2	2
0	1	1
0	1	1
0	285	285
0	226	226
0	104	104
0	73	73
0	24	24
0	23	23
0	24	24
0	27	27
0	7	7
2	0	2
0	5	5
0	94	94
0	92	92
0	4	4
0	2	2
0	0	0
0	0	0
0	5	5
1	296	297
0	236	236
0	21	21
0	4	4
0	45	45
0	15	15
0	50	50
0	66	66
0	51	51
0	21	21
0	2	2
0	1	1
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
1	2	3
0	1	1
0	0	0
0	0	0
2	42	44
0	0	0
0	1	1
0	0	0
0	4	4
0	0	0
0	2	2
0	0	0
0	0	0
1	266	267
0	265	265
1	265	266
0	26	26
0	0	0
0	2	2
0	1	1
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	3	3
0	1	1
0	0	0
0	355	355
0	827	827
0	850	850
0	704	704
0	151	151
0	426	426
0	201	201
0	118	118
0	236	236
0	149	149
0	14	14
0	432	432
0	35	35
0	51	51
0	426	426
0	21	21
0	38	38
0	11	11
0	193	193
0	20	20
0	30	30
0	32	32
0	2	2
0	4	4
0	0	0
0	1	1
0	0	0
0	0	0
0	1	1
2	3	5
0	0	0
0	3	3
0	3	3
0	0	0
0	4	4
0	4	4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
11	16	27
0	0	0
0	0	0
0	1	1
0	1	1
0	0	0
0	13	13
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
0	0	0
0	0	0
0	4	4
0	0	0
0	1	1
0	0	0
0	0	0
0	11	11
1	13	14
0	40	40
0	55	55
0	6	6
35	287	322
0	45	45
0	284	284
0	277	277
0	279	279
0	264	264
0	23	23
0	15	15
0	0	0
0	0	0
0	0	0
0	0	0
61	2	63
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	2	2
1	2	3
0	0	0
1	1	2
0	1	1
4	1	5
0	2	2
5	0	5
0	0	0
0	0	0
0	0	0
5	0	5
0	0	0
2	1	3
0	631	631
0	9	9
1	628	629
0	61	61
0	4	4
1	510	511
0	3	3
9	218	227
2	14	16
0	129	129
0	129	129
0	80	80
0	95	95
0	6	6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	103	103
0	103	103
0	22	22
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
1	5	6
0	5	5
0	3	3
0	0	0
3	4	7
0	1	1
9	3	12
0	24	24
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	141	141
0	50	50
0	0	0
0	1	1
0	3	3
22	197	219
0	98	98
0	0	0
0	1	1
0	3	3
0	0	0
0	0	0
1	0	1
0	0	0
0	1	1
0	0	0
0	96	96
0	89	89
0	93	93
0	96	96
0	0	0
0	85	85
0	1	1
0	0	0
0	0	0
0	0	0
0	93	93
0	0	0
0	33	33
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	0	2
0	0	0
0	0	0
0	0	0
0	0	0
0	13	13
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
1	1	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
41	58	99
0	53	53
0	52	52
0	0	0
0	1	1
0	0	0
5	50	55
0	0	0
0	18	18
0	19	19
0	7	7
0	0	0
0	2	2
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
5	186	191
0	187	187
8	110	118
0	110	110
10	2	12
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	51	51
0	51	51
0	1	1
0	1	1
0	2	2
0	50	50
0	1	1
0	51	51
0	0	0
0	0	0
0	50	50
0	0	0
0	0	0
0	0	0
0	0	0
2	0	2
0	0	0
0	0	0
0	4	4
0	7	7
0	1	1
0	7	7
0	13	13
0	0	0
0	0	0
0	3	3
0	0	0
0	12	12
0	13	13
0	14	14
0	14	14
0	5	5
0	5	5
0	6	6
0	3	3
0	5	5
0	3	3
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
1	4	5
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	5	5
0	0	0
0	5	5
0	0	0
149	8	157
0	0	0
0	0	0
0	0	0
0	0	0
0	33	33
0	42	42
0	47	47
0	40	40
0	12	12
0	39	39
0	34	34
0	14	14
0	26	26
0	30	30
0	10	10
0	11	11
0	31	31
0	11	11
0	14	14
0	10	10
0	0	0
1	5	6
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	1	1
0	2	2
0	0	0
0	0	0
0	12	12
0	7	7
0	9	9
0	8	8
0	14	14
0	14	14
0	15	15
0	13	13
0	0	0
0	1	1
0	81	81
5	93	98
0	88	88
0	27	27
0	29	29
0	64	64
0	59	59
0	70	70
0	38	38
0	3	3
0	0	0
0	0	0
0	1	1
0	0	0
1	1	2
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	11	11
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	2	2
0	3	3
0	3	3
0	3	3
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	20	20
0	15	15
0	10	10
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	12	12
0	3	3
0	23	23
0	3	3
0	26	26
0	1	1
0	4	4
0	4	4
0	9	9
0	30	30
0	0	0
0	4	4
1	7	8
1	0	1
0	1	1
0	14	14
0	5	5
0	0	0
0	0	0
0	3	3
0	0	0
0	7	7
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	5	5
0	3	3
0	6	6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
712	1779	2491
5	1834	1839
4	1829	1833
0	660	660
0	38	38
0	4	4
0	5	5
2	0	2
0	0	0
6	14	20
0	0	0
0	1	1
0	13	13
0	0	0
0	0	0
0	0	0
0	0	0
298	297	595
0	0	0
0	292	292
0	9	9
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
91	8	99
0	192	192
7	192	199
0	126	126
0	140	140
0	135	135
0	185	185
0	163	163
0	0	0
0	0	0
0	0	0
0	1	1
0	1	1
0	1	1
2	0	2
0	0	0
0	0	0
5	14	19
5	2	7
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	11	11
0	0	0
0	0	0
0	0	0
0	1	1
0	4	4
0	0	0
0	0	0
0	2	2
0	3	3
0	3	3
0	4	4
0	2	2
0	2	2
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	2	2
0	3	3
0	3	3
0	4	4
0	2	2
0	0	0
0	2	2
0	4	4
0	5	5
0	7	7
0	8	8
0	12	12
0	7	7
0	10	10
0	2	2
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
48	2	50
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
21	11	32
0	3	3
0	3	3
0	0	0
5	9	14
1	10	11
0	1	1
0	1	1
0	207	207
11	212	223
0	2	2
0	1	1
0	2	2
69	3	72
0	1	1
11	37	48
0	0	0
0	37	37
1	36	37
0	0	0
0	1	1
0	2	2
0	0	0
0	16	16
0	171	171
0	170	170
0	44	44
0	54	54
0	75	75
0	65	65
0	107	107
0	147	147
0	17	17
0	23	23
0	114	114
0	124	124
0	2	2
0	2	2
0	0	0
0	0	0
0	1	1
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
1	0	1
2	0	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	1
0	189	189
0	1	1
17	61	78
0	2	2
1	188	189
0	0	0
0	2	2
0	2	2
0	59	59
0	1	1
0	97	97
0	1	1
0	1	1
0	0	0
0	0	0
0	24	24
0	21	21
0	20	20
0	22	22
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
358	16	374
0	6	6
0	0	0
0	1	1
0	50	50
0	5	5
0	51	51
0	51	51
0	51	51
0	0	0
1	0	1
0	0	0
0	0	0
1	0	1
0	1	1
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	8	8
0	6	6
0	1656	1656
0	1633	1633
0	1645	1645
2	3	5
0	1629	1629
0	103	103
0	1	1
0	571	571
0	0	0
4	0	4
0	3	3
0	0	0
0	6	6
885	52	937
3	7	10
0	11	11
0	10	10
3	0	3
0	0	0
1	0	1
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	1	1
0	2	2
0	0	0
0	0	0
0	63	63
0	64	64
0	63	63
0	60	60
0	0	0
0	2	2
0	13	13
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2	2	4
0	1	1
2	0	2
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	11404	11404
27	11282	11309
0	11383	11383
0	11452	11452
1	260	261
0	7	7
0	31	31
0	9	9
0	36	36
0	9	9
0	17	17
0	6	6
1	3	4
0	17	17
1	20	21
0	1	1
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	5	6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
19	0	19
0	0	0
0	0	0
59	7	66
0	1	1
0	4	4
0	0	0
0	0	0
0	0	0
0	0	0
0	8	8
0	26	26
0	26	26
0	26	26
4	3	7
0	3	3
81	87	168
1	71	72
0	44	44
137	47	184
0	0	0
0	46	46
0	0	0
1	0	1
1	0	1
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
83	8	91
0	0	0
0	24	24
110	5	115
0	22	22
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	1	1
0	0	0
0	1	1
0	1	1
0	0	0
0	1	1
0	0	0
0	3	3
0	1	1
0	3	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	175	175
0	175	175
0	73	73
0	161	161
0	177	177
0	0	0
0	0	0
0	0	0
0	0	0
15	59	74
0	57	57
1	9	10
0	0	0
0	0	0
0	0	0
0	1	1
52	60	112
0	54	54
0	48	48
0	4	4
3	0	3
3	0	3
0	8	8
54	10	64
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	49	49
0	81	81
0	82	82
2	2	4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	67	67
0	67	67
0	35	35
0	1	1
0	5	5
0	4	4
0	5	5
0	4	4
0	33	33
0	12	12
0	0	0
0	0	0
0	26	26
0	27	27
0	27	27
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	5	5
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	1	1
0	1	1
0	8	8
0	0	0
803	45	848
0	6	6
0	0	0
0	8	8
0	6	6
0	0	0
0	1	1
0	0	0
2	0	2
1	8	9
0	3	3
0	7	7
3	18	21
0	2	2
63	19	82
0	0	0
75	18	93
0	3	3
1	6	7
0	3	3
209	40	249
0	5	5
28	36	64
0	0	0
1	0	1
62	6	68
0	6	6
0	0	0
0	0	0
0	0	0
18	16	34
